time_series_name,model_run_date,prediction_date,predicted_value
time_series_0,24/07/2022,04/08/2022,11.36539397
time_series_0,24/07/2022,05/08/2022,-9.816852958
time_series_0,24/07/2022,06/08/2022,-2.242793775
time_series_0,31/07/2022,31/07/2022,2.42025671
time_series_0,31/07/2022,01/08/2022,1.423781804
time_series_0,31/07/2022,02/08/2022,2.425717858
time_series_0,31/07/2022,03/08/2022,5.516028271
time_series_0,31/07/2022,04/08/2022,0.300860028
time_series_0,31/07/2022,05/08/2022,2.853389769
time_series_0,31/07/2022,06/08/2022,-8.36932765
time_series_0,31/07/2022,07/08/2022,-1.228289213
time_series_0,31/07/2022,08/08/2022,-2.334194945
time_series_0,31/07/2022,09/08/2022,1.593596719
time_series_0,31/07/2022,10/08/2022,-3.056958803
time_series_0,31/07/2022,11/08/2022,17.9281179
time_series_0,31/07/2022,12/08/2022,-14.8324416
time_series_0,31/07/2022,13/08/2022,7.651942252
time_series_0,07/08/2022,07/08/2022,-9.539251017
time_series_0,07/08/2022,08/08/2022,-3.408840229
time_series_0,07/08/2022,09/08/2022,0.933451596
time_series_0,07/08/2022,10/08/2022,6.718186299
time_series_0,07/08/2022,11/08/2022,11.99797136
time_series_0,07/08/2022,12/08/2022,10.27654478
time_series_0,07/08/2022,13/08/2022,-10.25430974
time_series_0,07/08/2022,14/08/2022,-3.079853157
time_series_0,07/08/2022,15/08/2022,-11.49249147
time_series_0,07/08/2022,16/08/2022,-12.32508415
time_series_0,07/08/2022,17/08/2022,-15.74234727
time_series_0,07/08/2022,18/08/2022,-5.966567011
time_series_0,07/08/2022,19/08/2022,-0.785412326
time_series_0,07/08/2022,20/08/2022,4.925885063
time_series_0,14/08/2022,14/08/2022,-4.878854008
time_series_0,14/08/2022,15/08/2022,-6.530480036
time_series_0,14/08/2022,16/08/2022,-8.517175092
time_series_0,14/08/2022,17/08/2022,-4.433079086
time_series_0,14/08/2022,18/08/2022,2.19684323
time_series_0,14/08/2022,19/08/2022,7.002016359
time_series_0,14/08/2022,20/08/2022,3.774278859
time_series_0,14/08/2022,21/08/2022,-2.397244473
time_series_0,14/08/2022,22/08/2022,9.139018038
time_series_0,14/08/2022,23/08/2022,-12.49485915
time_series_0,14/08/2022,24/08/2022,-4.181334194
time_series_0,14/08/2022,25/08/2022,-15.47204387
time_series_0,14/08/2022,26/08/2022,-10.26400134
time_series_0,14/08/2022,27/08/2022,14.82923882
time_series_0,21/08/2022,21/08/2022,4.754560539
time_series_0,21/08/2022,22/08/2022,0.126871148
time_series_0,21/08/2022,23/08/2022,-2.051599184
time_series_0,21/08/2022,24/08/2022,-1.397316135
time_series_0,21/08/2022,25/08/2022,-1.977557503
time_series_0,21/08/2022,26/08/2022,-0.73296175
time_series_0,21/08/2022,27/08/2022,7.091361696
time_series_0,21/08/2022,28/08/2022,7.212277684
time_series_0,21/08/2022,29/08/2022,-4.516361671
time_series_0,21/08/2022,30/08/2022,7.644416274
time_series_0,21/08/2022,31/08/2022,2.643201186
time_series_0,21/08/2022,01/09/2022,-9.282491009
time_series_0,21/08/2022,02/09/2022,-13.48409764
time_series_0,21/08/2022,03/09/2022,16.96275245
time_series_0,28/08/2022,28/08/2022,5.31474385
time_series_0,28/08/2022,29/08/2022,8.181491964
time_series_0,28/08/2022,30/08/2022,7.724114403
time_series_0,28/08/2022,31/08/2022,-5.308981971
time_series_0,28/08/2022,01/09/2022,-7.254241154
time_series_0,28/08/2022,02/09/2022,-5.581219101
time_series_0,28/08/2022,03/09/2022,-12.95086106
time_series_0,28/08/2022,04/09/2022,-10.86719665
time_series_0,28/08/2022,05/09/2022,11.99800579
time_series_0,28/08/2022,06/09/2022,12.28125355
time_series_0,28/08/2022,07/09/2022,-10.20614206
time_series_0,28/08/2022,08/09/2022,0.437653965
time_series_0,28/08/2022,09/09/2022,17.02635929
time_series_0,28/08/2022,10/09/2022,-22.90651941
time_series_0,04/09/2022,04/09/2022,-0.602572781
time_series_0,04/09/2022,05/09/2022,3.428680282
time_series_0,04/09/2022,06/09/2022,7.044941043
time_series_0,04/09/2022,07/09/2022,1.706920058
time_series_0,04/09/2022,08/09/2022,6.62246548
time_series_0,04/09/2022,09/09/2022,-1.521749585
time_series_0,04/09/2022,10/09/2022,-1.580123431
time_series_0,04/09/2022,11/09/2022,-7.548039987
time_series_0,04/09/2022,12/09/2022,-10.11589807
time_series_0,04/09/2022,13/09/2022,6.825801034
time_series_0,04/09/2022,14/09/2022,0.900708502
time_series_0,04/09/2022,15/09/2022,12.47073565
time_series_0,04/09/2022,16/09/2022,21.84322466
time_series_0,04/09/2022,17/09/2022,3.538333672
time_series_0,11/09/2022,11/09/2022,-12.39795593
time_series_0,11/09/2022,12/09/2022,-4.427258755
time_series_0,11/09/2022,13/09/2022,-4.796476218
time_series_0,11/09/2022,14/09/2022,5.988956835
time_series_0,11/09/2022,15/09/2022,5.366839926
time_series_0,11/09/2022,16/09/2022,4.609524117
time_series_0,11/09/2022,17/09/2022,3.050358987
time_series_0,11/09/2022,18/09/2022,-5.769974539
time_series_0,11/09/2022,19/09/2022,-14.55558865
time_series_0,11/09/2022,20/09/2022,-6.938769479
time_series_0,11/09/2022,21/09/2022,-13.24564678
time_series_0,11/09/2022,22/09/2022,16.09080537
time_series_0,11/09/2022,23/09/2022,-8.22760096
time_series_0,11/09/2022,24/09/2022,28.76800265
time_series_0,18/09/2022,18/09/2022,-2.685963653
time_series_0,18/09/2022,19/09/2022,-5.43609655
time_series_0,18/09/2022,20/09/2022,-7.043823526
time_series_0,18/09/2022,21/09/2022,-4.51548032
time_series_0,18/09/2022,22/09/2022,-6.713974379
